,A0,A1,A2,A3,A4,A5,A6,A7,B,C,sample_size,seed,time_delta
0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.711,0.287,100,1,7.081031799316406e-05
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963,0.037,200,1,8.273124694824219e-05
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,300,1,0.0002276897430419922
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400,1,0.0001761913299560547
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,500,1,0.00017881393432617188
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,1,0.00025916099548339844
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,700,1,0.00023412704467773438
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,800,1,0.0002932548522949219
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,900,1,0.0002880096435546875
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1000,1,0.0003132820129394531
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1100,1,0.0006508827209472656
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.002,1200,1,0.00036787986755371094
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994,0.006,1300,1,0.0005040168762207031
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,1400,1,0.0008890628814697266
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989,0.011,1500,1,0.0005939006805419922
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978,0.022,1600,1,0.0005929470062255859
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974,0.026,1700,1,0.0005040168762207031
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963,0.037,1800,1,0.0006878376007080078
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991,0.009,1900,1,0.0008571147918701172
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.002,2000,1,0.0005843639373779297
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997,0.003,2100,1,0.000644683837890625
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.002,2200,1,0.0006258487701416016
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.002,2300,1,0.0009200572967529297
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,2400,1,0.0007801055908203125
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2500,1,0.0009641647338867188
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2600,1,0.00102996826171875
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2700,1,0.0009448528289794922
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2800,1,0.00131988525390625
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2900,1,0.0010333061218261719
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3000,1,0.0010890960693359375
30,0.0,0.007,0.0,0.011,0.0,0.001,0.0,0.0,0.653,0.328,100,2,4.982948303222656e-05
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986,0.014,200,2,7.891654968261719e-05
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977,0.023,300,2,0.00011014938354492188
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.939,0.061,400,2,0.00014162063598632812
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.048,500,2,0.0002720355987548828
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.849,0.151,600,2,0.00020813941955566406
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836,0.164,700,2,0.0002949237823486328
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.786,0.214,800,2,0.0002589225769042969
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.815,0.185,900,2,0.0003399848937988281
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882,0.118,1000,2,0.000324249267578125
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885,0.115,1100,2,0.00035572052001953125
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.939,0.061,1200,2,0.0004048347473144531
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.891,0.109,1300,2,0.000392913818359375
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927,0.073,1400,2,0.00042128562927246094
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.07,1500,2,0.0005791187286376953
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.822,0.178,1600,2,0.0004799365997314453
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803,0.197,1700,2,0.0006198883056640625
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.848,0.152,1800,2,0.0007848739624023438
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.814,0.186,1900,2,0.0005571842193603516
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.819,0.181,2000,2,0.000579833984375
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792,0.208,2100,2,0.0006489753723144531
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.823,0.177,2200,2,0.000823974609375
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812,0.188,2300,2,0.0006551742553710938
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911,0.089,2400,2,0.0007097721099853516
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896,0.104,2500,2,0.0007097721099853516
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897,0.103,2600,2,0.0008609294891357422
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.915,0.085,2700,2,0.0010838508605957031
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856,0.144,2800,2,0.0010380744934082031
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.801,0.199,2900,2,0.0008339881896972656
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.167,3000,2,0.0008280277252197266
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983,0.017,100,3,5.1021575927734375e-05
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.871,0.129,200,3,8.0108642578125e-05
